organization;creators;title;directors;premiere
Bühnen Köln;Richard Wagner;Tristan und Isolde;Markus Stenz / David Pountney;2009
Bühnen Köln;Roger Vitrac;Victor oder Die Kinder an der Macht;Moritz Sostmann;2016
Bühnen Köln;Rolf Dieter Brinkmann;Besuch in einer sterbenden Stadt;Martin Wuttke;2007
Bühnen Köln;Rolf Dieter Brinkmann;Keiner weiss mehr;Stefan Nagel;2011
Bühnen Köln;Samuel Beckett;Warten auf Godot;Thomas Dannemann;2011
Bühnen Köln;Schorsch Kamerun;M. S.  Adenauer;Schorsch Kamerun;2009
Bühnen Köln;Signa;Die Erscheinungen der Martha Rubin;Signa Sǿrensen, Arthur Köstler;2007
Bühnen Köln;Signa;Die Hundsprozesse;Signa Köstler / Arthur Köstler / Thomas Bo Nilsson;2011
Bühnen Köln;Soeren Voima / Ben Jonson;Volpone;Christian Weise;2007
Bühnen Köln;Suse Wächter;Agrippina – Die Kaiserin aus Köln;Suse Wächter;2010
Bühnen Köln;Tom Kühnel / Jürgen Kuttner;Fordlandia;Tom Kühnel;2007
Bühnen Köln;Tom Kühnel / Jürgen Kuttner;Parsifal;Tom Kühnel;2008
Bühnen Köln;Torsten Rasch;Rotter;Katharina Thalbach / Enrico Dovico;2008
Bühnen Köln;Ulrich Hub / Herman Melville;Ich, Moby Dick;Michael Simon;2007
Bühnen Köln;Vincent Crowley;Heute im Raum Lumina;Vincent Crowley;2007
Bühnen Köln;Virginia Woolf;Die Wellen;Katie Mitchell;2011
Bühnen Köln;Walter Braunfels;Jeanne d’Arc;Lothar Zagrosek / Tatjana Gürbaca;2016
Bühnen Köln;Werner Fritsch;Magma;Clara Topic-Matutin;2006
Bühnen Köln;Werner Schwab;Die Präsidentinnen;Jan Bosse;2013
Bühnen Köln;William Shakespeare;Ein Sommernachtstraum;Christoph Frick;2007
Bühnen Köln;William Shakespeare;Ich bin Hamlet;Laurent Chétouane;2008
Bühnen Köln;William Shakespeare;Mass für Mass;Karin Beier;2007
Bühnen Köln;William Shakespeare;Troilus und Cressida;Marc Günther;2007
Bühnen Köln;Wim Vandekeybus;Monkey Sandwich;Wim Vandekeybus;2010
Bühnen Köln;Wolfgang Amadeus Mozart;Così fan tutte;Howard Arman / Michael Hampe;2006
Bühnen Köln;Wolfgang Amadeus Mozart;Die Entführung aus dem Serail;Konrad Junghänel / Uwe Eric Laufenberg;2010
Bühnen Köln;Wolfgang Amadeus Mozart;Die Zauberflöte;Markus Stenz / Peer Boysen;2008
Bühnen Köln;Wolfgang Amadeus Mozart;Die Zauberflöte;Modestas Pitrenas / René Zisterer;2010
Bühnen Köln;Wolfgang Amadeus Mozart;Die Zauberflöte;Will Humburg / Mariame Clément;2014
Bühnen Köln;Wolfgang Amadeus Mozart;Don Giovanni;François-Xavier Roth / Emmanuelle Bastet;2016
Bühnen Köln;Wolfgang Amadeus Mozart;Le nozze di Figaro;Markus Stenz / Christian von Götz;2007
Bühnen Köln;Wolfgang Rihm;Die Eroberung von Mexico;Alejo Pérez / Peter Konwitschny;2016
Bühnen Köln;Wolfgang Rihm;Jakob Lenz;Alejo Perez;2014
Bühnen Köln;Xavier Montsalvatge;Der gestiefelte Kater;Elena Tzavara;2014
Bühnen Köln;Yasmina Reza;Der Gott des Gemetzels;Karin Beier;2007
Burgfestspiele;Wilhelm Hauff;Der kleine Muck;Peter Seuwen;2010
Burghofbühne Dinslaken - Landestheater im Kreis Wesel;Friedrich Dürrenmatt;Das Versprechen;Thorsten Weckherlin;2008
Burghofbühne Dinslaken - Landestheater im Kreis Wesel;Hanne Chen;Der Mondkönig;Stefan Ey;2007
Burghofbühne Dinslaken - Landestheater im Kreis Wesel;Heinrich Spoerl;Die Feuerzangenbowle;Kai Festersen;2007
Burghofbühne Dinslaken - Landestheater im Kreis Wesel;Jan Ericson;Herren;Lars Helmer;2007
Burghofbühne Dinslaken - Landestheater im Kreis Wesel;Marco Baliani;Kleine Engel;Stefan Ey;2007
Burghofbühne Dinslaken - Landestheater im Kreis Wesel;Robert Louis Stevenson;Dr. Jekyll & Mr. Hyde;Thorsten Weckherlin;2007
Burghofbühne Dinslaken - Landestheater im Kreis Wesel;Stefan Ey;Die kleine Lily und der fabelhafte Big;Stefan Ey;2013
Burghofbühne Dinslaken - Landestheater im Kreis Wesel;Stefan Ey;Luuser;Stefan Ey;2008
Burghofbühne Dinslaken - Landestheater im Kreis Wesel;Stefan Ey / William Shakespeare;Der Sturm-Ariel erzählt;Stefan Ey;2007
Burghofbühne Dinslaken - Landestheater im Kreis Wesel;Yüksel Pazarkaya;40 Yil dile kolay – 40 Jahre leicht gesagt;Leon Ömer Simsek;2007
COMEDIA Köln;Catharina Fillers;Mach doch!;Catharina Fillers;2010
COMEDIA Köln;Dirk Reinhardt;Edelweisspiraten;Christopher Haninger;2014
COMEDIA Köln;Hannah Biedermann;Wille für immer zusammen;Rüdiger Pape;2014
COMEDIA Köln;Martin Karau / Karin Eppler;Ellis Biest;Karin Eppler;2010
COMEDIA Köln;Robert Louis Stevenson / Staerk / Hörner;Die Schatzinsel;Frank Hörner;2013
COMEDIA Köln;Theo Fransz;Schwestern;Rüdiger Pape;2010
COMEDIA Köln;Tina Müller;Türkisch Gold;Ulrike Stöck;2010
DAS THEATER an der Effingerstrasse;Daniel Glattauer;Die Wunderübung;Ingrid Adler;2015
DAS THEATER an der Effingerstrasse;Jean-Paul Sartre;Geschlossene Gesellschaft;Stefan Meier;2015
DAS THEATER an der Effingerstrasse;Lukas Hartmann / Tanja Geier Thomson;Die Deutsche im Dorf;Markus Keller;2015
DAS THEATER an der Effingerstrasse;Mike Bartlett;Nachwehen;Stefan Meier;2016
DAS THEATER an der Effingerstrasse;Peter Quilter;Glorious!;Christian Mair;2016
DAS THEATER an der Effingerstrasse;Sebastian Gfeller / Stefan Meier;Verschwunden;Karo Guthke;2016
DAS THEATER an der Effingerstrasse;Umberto Marino;La stazione;Alexander Kratzer;2015
DAS THEATER an der Effingerstrasse;Yasmina Reza;Kunst;Alexander Kratzer;2016
Deutsche Oper am Rhein;Antonín Dvořák;Rusalka;Jiři Nekvasil;2008
Deutsche Oper am Rhein;Anton Tschechow;Drei Schwestern;Michael Steindl;2015
Deutsche Oper am Rhein;Arnold Schönberg;Moses und Aron;Wen-Pin Chien;2009
Deutsche Oper am Rhein;Benjamin Britten;Billy Budd;Peter Hirsch / Immo Karaman;2011
Deutsche Oper am Rhein;Benjamin Britten;Death in Venice;Immo Karaman;2014
Deutsche Oper am Rhein;Benjamin Britten;Ein Sommernachtstraum;David Walsh;2006
Deutsche Oper am Rhein;Claude Debussy;Pelléas et Mélisande;Andreas Stoehr / Christof Nel;2007
Deutsche Oper am Rhein;Dmitri Schostakowitsch;Lady Macbeth von Mzensk;John Fiore / Gian-Carlo del Monaco;2008
Deutsche Oper am Rhein;Émile Zola;Bestie Mensch;Sebastian Kautz;2014
Deutsche Oper am Rhein;Emmerich Kálmán;Die Zirkusprinzessin;Joseph E. Köpplinger;2014
Deutsche Oper am Rhein;Gaetano Donizetti;L’elisir d’amore;Pierre-Dominique Ponelle / Andras Fricsay;2008
Deutsche Oper am Rhein;Georg Friedrich Händel;Giulio Cesare in Egitto;Andreas Stoehr / Philipp Himmelmann;2006
Deutsche Oper am Rhein;Giacomo Puccini;La Bohème;Axel Kober / Robert Carson;2010
Deutsche Oper am Rhein;Giacomo Puccini;Turandot;Huan-Hsiung Li;2015
Deutsche Oper am Rhein;Gioachino Rossini;Il turco in Italia;Tobias Richter;2007
Deutsche Oper am Rhein;Giorgio Battistelli;Fashion;Michael Simon;2008
Deutsche Oper am Rhein;Giorgio Battistelli;Richard III.;Wen-Pin Chien / Robert Carsen;2007
Deutsche Oper am Rhein;Giuseppe Verdi;Aida;Axel Kober;2014
Deutsche Oper am Rhein;Giuseppe Verdi;Don Carlo;Andriy Yurkevych / Guy Joosten;2016
Deutsche Oper am Rhein;Giuseppe Verdi;Nabucco;John Fiore / Christopher Alden;2007
Deutsche Oper am Rhein;Guy Joosten;Zauberflöte für Kinder;Wen-Pin Chien / Barbara Klimo;2010
Deutsche Oper am Rhein;Hans Werner Henze;Phaedra;Wen Pin Chien;2010
Deutsche Oper am Rhein;Hauke Berheide;Dr. Troll;Gregor Horres;2014
Deutsche Oper am Rhein;Ingrid Lausund;Bin nebenan;Michael Steindl;2016
Deutsche Oper am Rhein;Jean-Philippe Rameau;Platée;Konrad Junghänel / Karoline Gruber;2011
Deutsche Oper am Rhein;Johannes Brahms;Capricho Flamenco;Rättikavon Martin Schläpfer / Brigitta Luisa Merki / Mats Ek;2015
Deutsche Oper am Rhein;John von Düffel;Heute bin ich blond;Dana Brüning;2015
Deutsche Oper am Rhein;Jörn Arnecke;Ronja Räubertochter;Philipp Himmelmann / Johannes Schmid;2015
Deutsche Oper am Rhein;Jules Massenet;Werther;Joan Anton Rechi;2014
Deutsche Oper am Rhein;Kai Bettermann;René Reloaded;Veronika Maruhn;2015
Deutsche Oper am Rhein;Leoš Janáček;Aus einem Totenhaus;Christof Nel / John Fiore / Stein Winge;2009
Deutsche Oper am Rhein;Ludwig van Beethoven;Fidelio;Amélie Niermeyer;2008
Deutsche Oper am Rhein;Marius Felix Lange;Die Schneekönigin;Johannes Schmid;2016
Deutsche Oper am Rhein;Marius Felix Lange;Vom Mädchen, das nicht schlafen wollte;Sabine Hartmannshenn / Johannes Schmid;2014
Deutsche Oper am Rhein;Oscar Wilderer;Giocasta;Andreas Stoehr / Pet Halmen;2008
Deutsche Oper am Rhein;Otto Nicolai;Die lustigen Weiber von Windsor;Axel Kober / Dietrich W.Hilsdorf;2016
Deutsche Oper am Rhein;Richard Strauss;Die Frau ohne Schatten;John Fiore / Guy Joosten;2008
Deutsche Oper am Rhein;Richard Wagner;Lohengrin;Axel Kober;2014
Deutsche Oper am Rhein;Sergei Prokofjew;Der furige Engel;Wen-Pin Chien / Immo Karaman;2015
Deutsche Oper am Rhein;William Shakespeare / Feridun Zaimoglu / Günther Senkel;Othello;Michael Steindl;2013
Deutsche Oper am Rhein;William Shakespeare / Marius von Mayenburg;Mass für Mass;Kathrin Sievers;2016
Deutsche Oper am Rhein;Wolfgang Amadeus Mozart;Così fan tutte;Nicolas Brieger;2011
Deutsche Oper am Rhein;Wolfgang Amadeus Mozart;Die Zauberflöte;Barrie Kosky;2013
Deutsche Oper am Rhein;Wolfgang Amadeus Mozart;Lucio Silla;Andreas Stoehr / Christof Loy;2008
Deutsche Oper am Rhein;Wolfgang Amadeus Mozart;Zauberflöte für Kinder;Guy Joosten / Wen-Pin Chien / Barbara Klimo;2010
Deutsche Oper am Rhein;Xavier Montsalvatge;Der gestiefelte Kater;Svenja Tiedt;2011
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Albert Camus;Caligula;Thirza Bruncken;2007
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Alexandre Dumas;Die drei Musketiere;Markus Bothe;2013
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Arthur Schnitzler;Reigen;Otto A. Thoß;2016
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Astrid Lindgren;Ronja Räubertochter;Matthias Reichwald;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Bernard-Marie Koltés / Heiner Müller;Hamlet – no roof of access;Claudia Meyer;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Britta Pudelko;Heimatkisten;Britta Pudelko;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Chaya Czernowin;Pnima… Ins Innere;Johannes Harneit / Karsten Wiegand;2008
Deutsches Nationaltheater & Staatskapelle Weimar Staatstheater Thüringen;Christian Jost;Fünf Pforten in das Innere der Angst;Stefan Solyom / Karsten Wiegand;2010
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Christopher Hampton;Gefährliche Liebschaften;Niggi Ulrich;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Christoph Hein;Frau Paula Trousseau;Enrico Stolzenburg;2015
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Christoph Hein;Weiskerns Nachlass;Enrico Stolzenburg;2013
Deutsches Nationaltheater & Staatskapelle Weimar Staatstheater Thüringen;Dennis Kelly;Schutt;Anne Sophie Domenz;2010
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Edward Albee;Wer hat Angst vor Virginia Woolf?;Markus Fennert;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Franz Fühmann;Schneewittchen;Bernd Weißig;2006
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Franz Grillparzer / Christa Wolf;Medea;Nora Schlocker;2009
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Frederick Loewe;My fair Lady;Anthony Pilavachi;2016
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Friedrich Hebbel;Judith;Sven Miller;2007
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Friedrich Schiller;Der Verbrecher aus verlorener Ehre;Bernd Lange;2009
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Friedrich Schiller;Fiesco;Ludger Lemper;2009
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Friedrich Schiller;Kabale und Liebe;Bettina Bruinier;2014
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Friedrich Schiller;Maria Stuart;Markus Bothe;2015
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Georges Bizet;Carmen;Rainer Holzapfel;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Georg Friedrich Händel;Ariodante;Marco Comin / Michael Dißmeier;2007
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Giacomo Puccini;La Bohème;Bettina Bruinier;2015
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Giacomo Puccini;Tosca;Patrik Ringborg / Stephan Märki;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Giacomo Puccini;Turandot;Andrea Moses;2009
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Gioachino Rossini;Wilhelm Tell;Marco Comin / Andreas Baesler;2007
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Giuseppe Verdi;Luisa Miller;Karsten Wiegand;2007
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Heinrich von Kleist;Der zerbrochne Krug;Kai Tuchmann;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Janne Teller;Nichts. Was im Leben wichtig ist;Bijan Zamani;2014
Deutsches Nationaltheater & Staatskapelle Weimar Staatstheater Thüringen;Jan Sobrie;Titus;Markus Fennert;2010
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Jean Genet;Unter Aufsicht;Markus Fennert;2007
Deutsches Nationaltheater & Staatskapelle Weimar Staatstheater Thüringen;Jean-Paul Sartre;Die schmutzigen Hände;Nora Schlocker;2010
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Jean Racine;Bérénice;Claudia Meyer;2007
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Jens Raschke;Ich bin Kain;Jakob Fiedler;2016
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Johann Strauss (Sohn) ;Die Fledermaus;Sabine Hartmannshenn;2015
Deutsches Nationaltheater & Staatskapelle Weimar Staatstheater Thüringen;Johann Wolfgang von Goethe;Die Wahlverwandtschaften;Claudia Meyer;2011
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Johann Wolfgang von Goethe;Faust. Der Tragödie 2. Teil;Hasko Weber;2016
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Johann Wolfgang von Goethe;Faust II;Laurent Chétouane;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Johann Wolfgang von Goethe;Faust I;Tilmann Köhler;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Johann Wolfgang von Goethe;Torquato Tasso;Claudia Meyer;2007
Deutsches Nationaltheater & Staatskapelle Weimar Staatstheater Thüringen;Jonathan Safran Foer;Alles ist erleuchtet;Dominique Schnizer;2011
Deutsches Nationaltheater & Staatskapelle Weimar Staatstheater Thüringen;Jonathan Swift;Gullivers Reise;Marcelo Diaz;2010
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Jörg-Michael Koerbl;Gefährliche Menschen;Claudia Meyer;2009
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Jules Massenet;Werther;Michael Talke;2014
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Jura Soyfer;Astoria;Corinna von Rad;2015
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Kai Ivo Baulitz / Siegfried Lenz;Der Hofmeister;Enrico Stolzenburg;2014
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Kai Tuchmann;Das Hohelied der Liebe;Kai Tuchmann;2007
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Karen Köhler;Deine Helden – Meine Träume;Sebastian Martin;2013
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Karen Köhler;Deine Helden – Meine Träume;Sebastian Martin;2014
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Laura López Castro / Kevin Rittberger;Radio Cooperativa;Kevin Rittberger;2014
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Leoš Janáček;Jenůfa;Martin Hoff / Calixto Bieito;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Ljubko Deresch / Eva Szybalski;Die Anbetung der Eidechse oder Wie man Engel vernichtet;Nora Schlocker;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Ludger Vollmer;Lola rennt;Michael Dißmeier;2015
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Lutz Keßler;My God rides a Skateboard;Sven Miller;2007
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Martin McDonagh;Die Beauty Queen von Leenane;Kai Tuchmann;2006
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Michael Ende;Der…Wunschpunsch;Roland Bertschi;2007
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Mischa Spoliansky;Wie werde ich reich und glücklich?;Christian Weise;2015
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Nino Rota;Der Florentiner Hut;Marco Comin / Nils Cooper;2006
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Noëlle Renaude;Madame Ka;Nico Dietrich;2007
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Oliver Bukowski;Nichts Schöneres;Hasko Weber;2013
Deutsches Nationaltheater & Staatskapelle Weimar Staatstheater Thüringen;Oliver Kluck;Warteraum Zukunft;Daniela Kranz;2010
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Peter Hacks;Amphitryon;Matthias Reichwald;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Philipp Löhle;Das Ding;Steffi Heiner;2015
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Pjotr Iljitsch Tschaikowski;Eugen Onegin;Nina Gühlstorff;2013
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Richard O’Brien;The Rocky Horror Picture Show;Dirk Schattner;2007
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Richard Strauss;Der Rosenkavalier;Vera Nemirova;2014
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Richard Wagner;Die Meistersinger von Nürnberg;Joana Mallwitz / Vera Nemirova;2016
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Richard Wagner;Die Walküre;Michael Schulz / Carl St. Clair;2007
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Richard Wagner;Götterdämmerung;Michael Schulz / Carl St.Clair;2008
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Richard Wagner;Lohengrin;Stefan Solyom / Tobias Kratzer;2013
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Richard Wagner;Siegfried;Carl St.Clair / Michael Schulz;2007
Deutsches Nationaltheater & Staatskapelle Weimar Staatstheater Thüringen;Richard Wagner;Tristan und Isolde;Karsten Wiegand;2011
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Rimini Protokoll;Adolf Hitler: Mein Kampf, Band 1 &2;Helgard Haug & Daniel Wetzel;2015
Deutsches Nationaltheater & Staatskapelle Weimar Staatstheater Thüringen;Sergei Prokofjew;Der feurige Engel;Christian Sedelmayer;2010
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Thomas Mann;Lotte in Weimar;Hasko Weber;2014
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Tine Rahel Völcker / Nora Schlocker;Autoren- / Regieprojekt;Nora Schlocker;2009
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Walter Kohl;Ritzen;Markus Fennert;2009
Deutsches Nationaltheater & Staatskapelle Weimar Staatstheater Thüringen;William Shakespeare;Der Sturm;Corinna von Rad;2010
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;William Shakespeare;Ein Sommernachtstraum;Jan Neumann;2016
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;William Shakespeare;Othello;Tilmann Köhler;2006
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;William Shakespeare;Was ihr wollt;Alice Buddeberg;2014
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Wolfgang Amadeus Mozart;Così fan tutte;Carl St. Clair / Bruno Klimek;2006
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Wolfgang Amadeus Mozart;Die Entführung aus dem Serail;Elisabeth Stöppler;2013
Deutsches Nationaltheater & Staatskapelle Weimar Staatstheater Thüringen;Wolfgang Amadeus Mozart;Die Hochzeit des Figaro;Susanne Gauchel;2010
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Wolfgang Amadeus Mozart;Die Zauberflöte;Nina Gühlstorff;2015
Deutsches Nationaltheater & Staatskapelle Weimar - Staatstheater Thüringen;Wolfgang Amadeus Mozart;Don Giovanni;Julia von Sell / Karsten Wiegand;2009
Deutsches Theater in Göttingen;Andrew Bovell;Das Ende des Regens;Ingo Berk;2015
Deutsches Theater in Göttingen;Andrew Lloyd Webber / Tim Rice;Evita;Tobias Bonn;2008
Deutsches Theater in Göttingen;Astrid Lindgren;Mio, mein Mio;Antje Thoms;2014
